,Metabolites,Coefficients
0,coa_c,-0.0019844752139313486
1,coa_m,-0.0019844752139313486
2,nad_c,-0.002287307156379978
3,nadh_c,-0.002283832056676558
4,accoa_m,-0.0018809162986175897
5,coa_x,-0.0019844752139313486
6,crn_c,-0.009399267086509372
7,amp_c,-0.00438913114948449
8,gly_c,-0.8212540912091205
9,gln__L_c,-0.2237003980991894
10,hco3_c,-0.02483169425279178
11,ser__L_c,-0.4908695987128622
12,cys__L_c,-0.0930099073698079
13,hco3_e,-0.02483169425279178
14,ala__L_c,-0.7294771769353902
15,phe__L_c,-0.15453964079157026
16,so4_l,-0.01577254327023748
17,leu__L_c,-0.5118754744742482
18,phe_L_e,-0.00917222230923604
19,leu_L_e,-0.011550795050926028
20,nadh_x,-0.002283832056676558
21,pro__L_c,-0.3407020918266408
22,tyr__L_c,-0.11123351645663844
23,nad_x,-0.002287307156379978
24,gthrd_c,-0.004946374954243312
25,met__L_c,-0.1259342093697201
26,gly_e,-0.02018409672412918
27,asn__L_c,-0.21241565637858573
28,h2o2_x,-0.04454404730991194
29,val__L_c,-0.4332495610332793
30,ile_L_e,-0.011550795050926028
31,ala_L_e,-0.017006369232207396
32,ile__L_c,-0.2914292336662991
33,gln_L_e,-0.010367489129946837
34,pro_L_e,-0.013160301063259152
35,trp__L_c,-0.03261532898923295
36,ser_L_e,-0.014417302488448903
37,cys_L_e,-0.012505565164081495
38,accoa_x,-0.0018809162986175897
39,arg__L_c,-0.2439351282629372
40,val_L_e,-0.012933835706275718
41,asn_L_e,-0.011468175665734938
42,thr__L_c,-0.3327661002685245
43,thr_L_e,-0.012719628942577462
44,tyr_L_e,-0.008362292202097965
45,met_L_e,-0.010154399224291634
46,trp_L_e,-0.007419024016291798
47,his__L_c,-0.10055883196472204
48,glu__L_c,-0.3997076985834686
49,lys__L_c,-0.4024886433964099
50,gthrd_e,-0.004946374954243312
51,citr_L_c,-0.008648830025366882
52,orn_c,-0.011377666163782925
53,acgam_l,-0.006849448867316232
54,nh4_c,-0.08399561354747109
55,arg_L_e,-0.008647685791940451
56,akg_c,-0.010515878326391571
57,his_L_e,-0.009765433353370441
58,lys_L_e,-0.0102934635579995
59,crn_m,-0.009399267086509372
60,orn_e,-0.011377666163782925
61,cl_e,-0.042736905625800785
62,citr_L_e,-0.008648830025366882
63,pyr_c,-0.017404707728382245
64,cl_c,-0.042736905625800785
65,akg_m,-0.010515878326391571
66,datp_n,-0.009512810826365672
67,dttp_n,-0.009795616111699237
68,dctp_n,-0.007623159749397114
69,dgtp_n,-0.0066935072006424215
70,utp_c,-0.10067410103688236
71,ctp_c,-0.06590798918983404
72,gtp_c,-0.06723947079861481
73,asp__L_c,-0.3213208827554201
74,pail_hs_c,-0.057460660769403885
75,pe_hs_c,-0.028715639150664718
76,pglyc_hs_c,-0.00647311538816295
77,ps_hs_c,-0.04267310408369237
78,sphmyln_hs_c,-0.016848685144256918
79,atp_c,-45.082533667860524
80,h2o_c,-38.626916829455936
81,adp_c,45.0
82,pi_c,45.0
83,h_c,45.0
84,ppi_c,0.3499803227739664
