,Metabolites,Coefficients
0,ksi_pre29_g,-0.000275265
1,5dhf_c,-0.00180761
2,ksi_deg16_l,-0.000362808
3,ksi_deg26_l,-0.000536138
4,pgp_hs_c,-0.001822393
5,man_r,-0.009570256
6,tsul_m,-0.015376488
7,grdp_c,-0.005540551
8,dpcoa_m,-0.002515013
9,m2gacpail_hs_r,-0.00102564
10,glu5p_m,-0.00765966
11,ksi_deg2_l,-0.000237341
12,l2fn2m2masn_g,-0.000973747
13,g2m8masn_r,-0.00078694
14,25aics_c,-0.003829277
15,cbp_c,-0.012403509
16,ksi_pre36_g,-0.000235716
17,cmp_n,-0.005368125
18,ksi_deg20_l,-0.000420047
19,mepi_c,-0.008697272
20,orot5p_c,-0.001822393
21,ksi_deg12_l,-0.00032681
22,6pgc_c,-0.006312948
23,retinal_cis_13_c,-0.006061608
24,44mzym_r,-0.004177796
25,m6masnA_g,-0.001117845
26,csn_c,-0.015518514
27,ksi_deg29_l,-0.000622104
28,dhor_S_c,-0.010974487
29,coa_c,-0.001984475
31,nad_c,-0.002287307
32,nadh_c,-0.002283832
33,accoa_m,-0.001880916
35,crn_c,-0.009399267
36,amp_c,-0.004389131
37,gly_c,-0.821254091
38,gln__L_c,-0.223700398
39,hco3_c,-0.024831694
40,ser__L_c,-0.490869599
41,cys__L_c,-0.093009907
43,ala__L_c,-0.729477177
44,phe__L_c,-0.154539641
45,so4_l,-0.015772543
46,leu__L_c,-0.511875474
50,pro__L_c,-0.340702092
51,tyr__L_c,-0.111233516
53,gthrd_c,-0.004946375
54,met__L_c,-0.125934209
56,asn__L_c,-0.212415656
57,h2o2_x,-0.044544047
58,val__L_c,-0.433249561
61,ile__L_c,-0.291429234
62,gln_L_e,-0.010367489
64,trp__L_c,-0.032615329
68,arg__L_c,-0.243935128
71,thr__L_c,-0.3327661
76,his__L_c,-0.100558832
77,glu__L_c,-0.399707699
78,lys__L_c,-0.402488643
80,citr_L_c,-0.00864883
81,orn_c,-0.011377666
82,acgam_l,-0.006849449
83,nh4_c,-0.083995614
85,akg_c,-0.010515878
92,pyr_c,-0.017404708
93,cl_c,-0.042736906
94,akg_m,-0.010515878
95,datp_n,-0.009512811
96,dttp_n,-0.009795616
97,dctp_n,-0.00762316
98,dgtp_n,-0.006693507
99,utp_c,-0.100674101
100,ctp_c,-0.065907989
101,gtp_c,-0.067239471
102,asp__L_c,-0.321320883
103,pail_hs_c,-0.057460661
104,pe_hs_c,-0.028715639
105,pglyc_hs_c,-0.006473115
106,ps_hs_c,-0.042673104
107,sphmyln_hs_c,-0.016848685
108,atp_c,-45.08253367
109,h2o_c,-38.62691683
110,adp_c,45
111,pi_c,45
112,h_c,45
113,ppi_c,0.349980323
